I,感染症及寄生蟲病 Certain infectious and parasitic diseases,,,,,A00-B99," 22,554 "
,,除感染性胃腸炎及大腸炎外之腸道感染性疾病 Intestinal infectious diseases except infectious gastroenteritis and colitis,,,,A00-A08," 1,371 "
,,"感染性胃腸炎及大腸炎 Infectious gastroenteritis and colitis, unspecified",,,,A09," 5,349 "
,,結核病 Tuberculosis,,,,A15-A19, 71 
,,敗血症 Sepsis,,,,A40-A41, 345 
,,人類免疫不全病毒疾病 Human immunodeficiency virus [HIV] disease ,,,,B20, 125 
,,其他感染症及寄生蟲病 Other infectious and parasitic diseases ,,,,remainder of A00-B99," 17,305 "
II,腫瘤 Neoplasms,,,,,C00-D49," 10,929 "
,,"唇、口腔及咽惡性腫瘤 Malignant neoplasm of lip, oral cavity and pharynx",,,,C00-C14, 302 
,,食道惡性腫瘤 Malignant neoplasm of esophagus ,,,,C15, 50 
,,胃惡性腫瘤 Malignant neoplasm of stomach ,,,,C16, 92 
,,結腸惡性腫瘤 Malignant neoplasm of colon,,,,C18, 316 
,,"直腸乙狀結腸連接處、直腸、肛門及肛管惡性腫瘤 Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",,,,C19-C21, 175 
,,肝及肝內膽管惡性腫瘤 Malignant neoplasm of liver and intrahepatic bile ducts ,,,,C22, 277 
,,胰臟惡性腫瘤 Malignant neoplasm of pancreas,,,,C25, 45 
,,其他消化器官之惡性腫瘤 Other malignant neoplasms of digestive organs ,,,,"C17, C23-C24, C26", 36 
,,喉惡性腫瘤 Malignant neoplasms of larynx ,,,,C32, 26 
,,"氣管、支氣管和肺惡性腫瘤 Malignant neoplasm of trachea, bronchus and lung",,,,C33-C34, 382 
,,其他呼吸系統及胸腔內器官惡性腫瘤  Other malignant neoplasms of respiratory and intrathoracic organs,,,,"C30-C31, C37-C39", 30 
,,肢體骨及關節軟骨惡性腫瘤 Malignant neoplasm of bone and articular cartilage ,,,,C40-C41, 11 
,,皮膚惡性黑色素瘤 Malignant melanoma of skin ,,,,C43, 9 
,,皮膚之其他及未明示惡性腫瘤 Other and unspecified malignant neoplasm of skin,,,,C44, 55 
,,間皮及軟組織之惡性腫瘤 Malignant neoplasms of mesothelial and soft tissue,,,,C45-C49, 45 
,,乳房惡性腫瘤 Malignant neoplasm of breast ,,,,C50, 743 
,,子宮頸惡性腫瘤 Malignant neoplasm of cervix uteri ,,,,C53, 122 
,,子宮體及未明示部位子宮惡性腫瘤 Malignant neoplasm of other and unspecified parts of uterus,,,,C54-C55, 217 
,,其他女性生殖器官之惡性腫瘤 Other malignant neoplasms of female genital organs,,,,"C51-C52, C56-C58", 145 
,,攝護腺惡性腫瘤 Malignant neoplasm of prostate,,,, C61, 555 
,,其他男性生殖器官之惡性腫瘤 Other malignant neoplasms of male genital organs,,,,"C60, C62-C63", 28 
,,膀胱惡性腫瘤 Malignant neoplasm of bladder ,,,,C67, 120 
,,其他泌尿道之惡性腫瘤 Other malignant neoplasms of urinary tract ,,,,"C64-C66, C68", 118 
,,眼與附器惡性腫瘤 Malignant neoplasm of eye and adnexa,,,,C69, 4 
,,腦惡性腫瘤 Malignant neoplasm of brain ,,,,C71, 37 
,,中樞神經系統其他部位惡性腫瘤 Malignant neoplasm of other parts of central nervous system ,,,,"C70,C72", 8 
,,"其他、界定不明、續發性及未明示部位之惡性腫瘤 Malignant neoplasm of other, ill-defined, secondary and unspecified sites",,,,C73-C80, 508 
,,何杰金淋巴瘤 Hodgkin lymphoma,,,,C81, 11 
,,非何杰金(氏)淋巴瘤 Non-Hodgkin's lymphoma ,,,,C82-C85, 92 
,,白血病 Leukaemia ,,,,C91-C95, 65 
,,"其他淋巴、造血及相關組織之惡性腫瘤 Other malignant neoplasms of lymphoid, haematopoietic and related tissue",,,,"C88-C90, C96", 36 
,,子宮頸原位癌 Carcinoma in situ of cervix uteri,,,,D06, 61 
,,皮膚良性腫瘤 Benign neoplasm of skin,,,,D22-D23," 1,532 "
,,乳房良性腫瘤 Benign neoplasm of breast ,,,,D24, 595 
,,子宮平滑肌瘤 Leiomyoma of uterus,,,,D25," 3,516 "
,,卵巢良性腫瘤 Benign neoplasm of ovary ,,,,D27," 1,031 "
,,泌尿器官良性腫瘤 Benign neoplasm of urinary organs ,,,,D30, 81 
,,大腦及中樞神經系統其他部位之良性腫瘤 Benign neoplasm of brain and other parts of central nervous system ,,,,D33, 101 
,,其他腫瘤 Other  neoplasms ,,,,remainder of C00-D49 ," 4,457 "
III,血液和造血器官及涉及免疫機轉的疾患 Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,,,,,D50-D89," 3,286 "
,,貧血 Anaemias,,,,D50-D64," 2,526 "
,,其他血液和造血器官及涉及免疫機轉的疾患 Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,,,,D65-D89, 862 
IV,"內分泌、營養和代謝疾病 Endocrine, nutritional and metabolic diseases",,,,,E00-E89," 24,817 "
,,糖尿病 Diabetes mellitus ,,,,E08-E13," 10,396 "
,,"其他內分泌、營養和代謝疾病 Other endocrine, nutritional and metabolic diseases",,,,remainder of E00-E89," 21,647 "
V,"精神、行為和神經發展疾患 Mental, behavioral and neurodevelopmental disorders",,,,,F01-F99," 12,333 "
,,失智症 Dementia ,,,,F01-F03," 1,170 "
,,酒精相關障礙症 Alcohol related disorders,,,,F10, 187 
,,其他精神作用物質相關障礙症 Other mental and behavioural disorders due to other psychoactive substance use ,,,,F11-F19, 631 
,,"思覺失調、準思覺失調、妄想和其他非情緒精神病症 Schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders",,,,F20-F29, 610 
,,情緒障礙症 Mood [affective] disorders,,,,F30-F39," 3,031 "
,,"焦慮、解離、壓力相關、身體障礙和其他非精神病的精神疾患 Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders",,,,F40-F48," 6,563 "
,,智能不足 Intellectual disabilities,,,,F70-F79, 198 
,,"其他精神、行為和神經發展疾患  Other mental, behavioral and neurodevelopmental disorders",,,,remainder of F01-F99," 4,682 "
VI,神經系統疾病 Diseases of the nervous system,,,,,G00-G99," 12,573 "
,,阿茲海默氏病 Alzheimer's disease,,,,G30, 226 
,,多發性硬化症 Multiple sclerosis,,,,G35, 13 
,,癲癇及重覆發作 Epilepsy and recurrent seizures,,,,G40, 534 
,,短暫性腦缺血發作及相關症候群 Transient cerebral ischaemic attacks and related syndromes,,,,G45, 626 
,,其他神經系統疾病 Other diseases of the nervous system,,,,remainder of G00-G99," 11,703 "
VII,眼與附器疾病 Diseases of the eye and adnexa,,,,,H00-H59," 30,700 "
,,白內障 Cataract,,,,"H25-H26, H28"," 5,570 "
,,青光眼 Glaucoma,,,,H40-H42," 2,136 "
,,其他眼與附器疾病 Other diseases of the eye and adnexa,,,,remainder of H00-H59," 30,166 "
VIII,耳與乳突疾病 Diseases of the ear and mastoid process ,,,,,H60-H95," 11,859 "
IX,循環系統疾病 Diseases of the circulatory system,,,,,I00-I99," 23,027 "
,,高血壓性疾病 Hypertensive diseases ,,,,I10-I15," 18,064 "
,,心絞痛 Angina pectoris,,,,I20," 1,188 "
,,急性心肌梗塞 Acute myocardial infarction,,,,I21-I22, 373 
,,其他缺血性心臟病 Other ischaemic heart disease,,,,I23-I25," 3,097 "
,,肺性心臟病和肺循環疾病 Pulmonary heart disease and diseases of pulmonary circulation,,,,I26-I28, 83 
,,傳導障礙及心臟節律不整 Conduction disorders and cardiac arrhythmias,,,,I44-I49," 2,711 "
,,心臟衰竭 Heart failure,,,,I50, 976 
,,腦血管疾病 Cerebrovascular diseases,,,,I60-I69," 2,618 "
,,動脈粥樣硬化 Atherosclerosis,,,,I70, 254 
,,下肢靜脈曲張 Varicose veins of lower extremities,,,,I83, 197 
,,其他循環系統疾病 Other diseases of the circulatory system,,,,remainder of I00-I99," 2,911 "
X,呼吸系統疾病 Diseases of the respiratory system,,,,,J00-J99," 65,931 "
,,急性上呼吸道感染和流行性感冒 Acute upper respiratory infections and influenza,,,,J00-J11," 60,110 "
,,肺炎 Pneumonia,,,,J12-J18," 3,975 "
,,其他急性下呼吸道感染 Other acute lower respiratory infections,,,,J20-J22," 25,522 "
,,扁桃腺及腺樣體之慢性疾病 Chronic diseases of tonsils and adenoids,,,,J35, 219 
,,其他上呼吸道疾病 Other diseases of upper respiratory tract,,,,"J30-J34, J36-J39"," 19,836 "
,,慢性阻塞性肺疾病和支氣管擴張症 Chronic obstructive pulmonary disease and bronchiectasis,,,,"J40-J44, J47"," 3,712 "
,,氣喘 Asthma,,,,J45," 3,798 "
,,其他呼吸系統疾病 Other diseases of the respiratory system,,,,remainder of J00-J99, 888 
XI,消化系統疾病 Diseases of the digestive system,,,,,K00-K95," 41,404 "
,,牙齒及支持性構造疾患 Disorders of teeth and supporting structures,,,,K00-K08, 821 
,,其他口腔和唾液腺疾病 Other diseases of oral cavity and salivary glands,,,,K09-K14," 4,254 "
,,食道相關疾病 Diseases of oesophagus,,,,K20-K23," 9,166 "
,,消化性潰瘍 Peptic ulcer,,,,K25-K28," 5,389 "
,,消化不良和其他胃及十二指腸疾病 Dyspepsia and other diseases of stomach and duodenum,,,,K29-K31," 17,582 "
,,闌尾疾病 Diseases of appendix,,,,K35-K38, 115 
,,腹股溝疝氣 Inguinal hernia,,,,K40, 263 
,,其他腹部疝氣 Other abdominal hernia,,,,K41-K46, 74 
,,克隆氏病[局部性腸炎]和潰瘍性結腸炎 Crohn's disease and ulcerative colitis,,,,K50-K51, 128 
,,其他及未明示非傳染性胃腸炎及結腸炎 Other and unspecified noninfective gastroenteritis and colitis,,,,K52," 12,363 "
,,麻痺性腸阻塞及未伴有疝氣的腸道阻塞 Paralytic ileus and intestinal obstruction without hernia,,,,K56, 417 
,,腸憩室性疾病 Diverticular disease of intestine,,,,K57, 156 
,,肛門及直腸疾病 Diseases of anus and rectum,,,,K60-K62, 792 
,,其他腸道疾病 Other diseases of intestine,,,,"K55, K58-K59, K63"," 8,767 "
,,酒精性肝疾病 Alcoholic liver disease,,,,K70, 166 
,,其他肝臟疾病 Other diseases of liver,,,,K71-K77," 4,351 "
,,膽結石 Cholelithiasis,,,,K80, 973 
,,其他膽囊和膽道疾病 Other diseases of gall bladder and biliary tract,,,,K81-K83, 564 
,,胰臟疾病 Diseases of pancreas,,,,K85-K87, 266 
,,其他消化系統疾病 Other diseases of the digestive system,,,,remainder of K00-K95," 4,063 "
XII,皮膚及皮下組織疾病 Diseases of the skin and subcutaneous tissue,,,,,L00-L99," 34,119 "
,,皮膚及皮下組織的感染  Infections of the skin and subcutaneous tissue,,,,L00-L08," 10,619 "
,,"皮膚炎、濕疹和鱗屑性丘疹疾患 Dermatitis, eczema and papulosquamous disorders",,,,L20-L45," 22,479 "
,,其他皮膚和皮下組織疾病 Other diseases of the skin and subcutaneous tissue,,,,remainder of L00-L99," 15,394 "
XIII,肌肉骨骼系統及結締組織疾病 Diseases of the musculoskeletal system and connective tissue,,,,,M00-M99," 31,250 "
,,髖部骨關節炎 Osteoarthritis of hip,,,,M16, 318 
,,膝部骨關節炎 Osteoarthritis of knee,,,,M17," 3,699 "
,,膝內在障礙 Internal derangement of knee,,,,M23, 328 
,,其他關節病變 Other arthropathies,,,,"M00-M15, M18-M22, M24-M25"," 11,744 "
